seed_index,seed_id,seed_country,seed_population,initial_prevalence,initial_infected,R0,beta,mu,dt,step_order,steps_run,final_susceptible,final_infected,final_recovered,final_attack_rate,peak_infected,peak_infected_rate,countries_reached_final,countries_reached_max,simulation
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46489018,13070635,7295317926,0.9919020198011103,2549800286,0.3466815400544956,225,225,0
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46417623,11197535,7297262421,0.9921664014959942,2618111174,0.35596937486428826,225,225,1
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46348462,9362508,7299166609,0.9924253028821216,2616059285,0.35569039143078307,225,225,2
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46477502,12514665,7295885412,0.9919791775775525,2333590923,0.31728480833766437,225,225,3
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46451719,12495928,7295929932,0.9919852307034572,2596465113,0.35302628563302696,225,225,4
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46319888,8459898,7300097793,0.9925519105638944,2561453983,0.34826602557105596,225,225,5
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46437606,11784019,7296655954,0.9920839436993163,2662367081,0.3619865935772634,225,225,6
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46486286,13150689,7295240604,0.9918915067777228,2521803598,0.3428749929435093,225,225,7
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46481888,12765417,7295630274,0.9919444879450929,2602890014,0.35389984211727693,225,225,8
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46475160,13248652,7295153767,0.991879700055032,2575524762,0.3501791476929218,225,225,9
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46407573,10994131,7297475875,0.9921954235970023,2588468075,0.35193897480914144,225,225,10
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46528167,14104275,7294245137,0.9917561589096846,2529599237,0.3439349207147422,225,225,11
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46446414,11640397,7296790768,0.9921022735761297,2504451246,0.34051569439453755,225,225,12
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46532444,14516478,7293828657,0.9916995325422805,2518851358,0.34247359401221655,225,225,13
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46475245,12880318,7295522016,0.9919297687334083,2579491425,0.35071847182950916,225,225,14
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46483473,13281693,7295112413,0.9918740773917646,2526019515,0.3434482066992403,225,225,15
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46426844,11257594,7297193141,0.9921569818966527,2523590911,0.3431180035144947,225,225,16
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46461448,12343889,7296072242,0.9920045797678667,2579032371,0.35065605692252133,225,225,17
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46472106,12679548,7295725925,0.9919574930561873,2632326780,0.35790218827243925,225,225,18
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46366368,9979766,7298531445,0.9923389433209763,2753351077,0.3743571592355936,225,225,19
3,3,American Samoa,53466,0.001,53,5.0,0.2,0.04,1.0,local_then_travel,365,46500096,13552799,7294824684,0.9918349565502673,2497452235,0.33956407950702616,225,225,20
