Source,Target,Max. Number of Routes,Avg. Number of Routes,Min. Number of Routes
6,5,1,1.0,1
11,1,1,1.0,1
11,2,1,1.0,1
11,8,3,3.0,3
12,0,1,1.0,1
12,11,2,2.0,2
16,6,2,2.0,2
17,8,1,1.0,1
17,11,2,2.0,2
17,12,1,1.0,1
18,2,1,1.0,1
18,4,4,2.0,0
18,11,2,2.0,2
20,18,4,2.0,0
22,15,1,1.0,1
23,7,2,2.0,2
24,11,1,1.0,1
26,4,2,2.0,2
26,7,29,28.5,28
26,16,1,1.0,1
26,23,3,2.5,2
28,10,1,1.0,1
29,11,3,3.0,3
29,18,4,4.0,4
30,2,1,1.0,1
30,18,4,4.0,4
30,20,1,1.0,1
31,15,1,1.0,1
32,18,4,2.0,0
33,31,1,1.0,1
34,18,9,9.0,9
34,20,4,4.0,4
35,2,1,1.0,1
35,6,2,2.0,2
35,9,2,2.0,2
35,10,1,1.0,1
35,11,3,3.0,3
35,13,4,3.5,3
35,16,2,2.0,2
35,18,7,6.5,6
35,21,2,2.0,2
35,26,2,2.0,2
36,26,1,1.0,1
37,13,1,1.0,1
37,35,2,2.0,2
38,34,2,2.0,2
39,34,3,3.0,3
40,7,10,9.5,9
40,10,2,2.0,2
40,23,3,3.0,3
40,26,6,6.0,6
40,35,1,1.0,1
41,2,1,1.0,1
41,4,1,1.0,1
41,10,17,17.0,17
41,11,2,2.0,2
41,12,2,2.0,2
41,15,2,2.0,2
41,18,2,2.0,2
41,28,1,1.0,1
41,31,8,8.0,8
41,33,11,10.5,10
41,35,15,15.0,15
42,10,1,1.0,1
43,42,1,1.0,1
44,7,2,2.0,2
44,9,2,2.0,2
44,23,1,1.0,1
44,26,4,4.0,4
44,35,2,2.0,2
44,40,2,2.0,2
46,4,1,1.0,1
46,20,7,7.0,7
46,34,5,4.5,4
47,4,4,2.0,0
47,18,4,2.5,1
47,34,5,4.5,4
47,46,4,3.5,3
48,10,1,1.0,1
49,35,3,3.0,3
49,44,1,1.0,1
50,2,1,1.0,1
50,18,4,3.5,3
50,20,8,5.5,3
50,30,8,8.0,8
50,34,1,1.0,1
51,11,6,6.0,6
51,18,5,5.0,5
51,24,1,1.0,1
52,4,1,1.0,1
52,7,1,1.0,1
52,13,2,2.0,2
52,35,29,28.0,27
52,37,1,1.0,1
52,44,3,3.0,3
53,11,3,3.0,3
53,14,1,1.0,1
53,17,1,1.0,1
53,18,2,2.0,2
53,29,4,4.0,4
54,8,2,2.0,2
54,11,1,1.0,1
54,12,2,2.0,2
54,17,2,2.0,2
54,18,4,4.0,4
54,29,2,2.0,2
54,51,2,1.5,1
55,11,5,5.0,5
55,18,5,5.0,5
55,24,1,1.0,1
55,29,1,1.0,1
55,35,3,3.0,3
55,41,3,3.0,3
55,51,6,6.0,6
55,54,4,4.0,4
56,45,1,1.0,1
57,6,1,1.0,1
57,16,1,1.0,1
57,27,2,2.0,2
58,6,4,3.5,3
58,7,1,1.0,1
58,9,2,2.0,2
58,26,4,4.0,4
58,35,17,15.5,14
58,40,1,1.0,1
58,44,3,3.0,3
58,49,1,1.0,1
58,52,2,2.0,2
59,10,2,2.0,2
60,7,1,1.0,1
60,26,1,1.0,1
60,40,2,1.5,1
60,44,11,11.0,11
60,52,1,1.0,1
61,2,2,2.0,2
61,11,6,6.0,6
61,14,2,2.0,2
61,18,2,2.0,2
61,35,1,1.0,1
61,41,4,4.0,4
61,53,2,2.0,2
61,55,2,2.0,2
